,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
156,black,male,Hardee County,employed,english,4,less than high school,26
157,hispanic-white,female,Lafayette County,employed,english,1,high school,27
158,hispanic-black,female,Lafayette County,employed,english,NA,graduate degree,45
159,caucasian,male,Gadsden County,employed,english,3,some university,21
160,Pacific Islander,female,Bradford County,employed,english,NA,high school,33
161,black,female,Washington County,employed,english,1,high school,42
162,Other,female,Glades County,employed,english,NA,high school,30
163,white,female,Gulf County,unemployed,english,NA,high school,26
164,Native American and Alaskan Native,female,Holmes County,employed,english,NA,high school,49
165,hispanic-black,female,Hamilton County,employed,english,1,high school,29
166,hispanic-white,female,Columbia County,employed,english,NA,high school,36
167,Asian,female,Madison County,employed,english,1,some university,22
168,white,male,Franklin County,employed,spanish,1,associate's degree,39
169,Native American and Alaskan Native,female,Calhoun County,unemployed,spanish,1,high school,50
170,caucasion,male,Calhoun County,unemployed,spanish,3,high school,36
171,white,female,Putnam County,employed,english,1,some university,52
172,caucasian,male,Putnam County,employed,english,1,graduate degree,28
173,Asian,female,Calhoun County,employed,english,4,high school,21
174,hispanic-white,female,Jefferson County,employed,english,1,high school,50
175,Native American and Alaskan Native,female,Martin County,unemployed,english,2,some university,47
176,caucasian,male,Jefferson County,employed,english,NA,high school,54
177,caucasian,female,Holmes County,employed,english,2,less than high school,49
178,Native American and Alaskan Native,male,Jackson County,employed,english,4,high school,51
179,hispanic-white,female,Clay County,employed,english,1,bachelor's degree,50
180,hispanic-white,male,Franklin County,employed,english,2,high school,41
181,hispanic-white,male,Jackson County,employed,english,4,high school,49
182,hispanic-black,female,Liberty County,unemployed,english,NA,high school,36
183,hispanic-white,female,Washington County,employed,english,1,associate's degree,60
184,white,female,Hardee County,employed,english,2,high school,20
185,hispanic-white,female,Madison County,employed,english,1,graduate degree,27
186,hispanic-black,female,Liberty County,employed,english,1,high school,28
187,Native American and Alaskan Native,male,St. Lucie County,employed,english,2,high school,22
188,Native American,male,Madison County,unemployed,english,1,high school,36
189,white,female,Union County,employed,spanish,1,some university,59
190,caucasion,female,Okeechobee County,employed,english,4,less than high school,35
191,caucasian,female,Lafayette County,employed,english,NA,trade school or other certification,45
192,caucasian,female,Hardee County,employed,english,1,trade school or other certification,33
193,Native American and Alaskan Native,male,Liberty County,employed,english,2,associate's degree,38
194,Asian,female,Columbia County,employed,english,1,trade school or other certification,46
195,Native American,female,Holmes County,employed,english,NA,high school,36
196,hispanic-black,female,Volusia County,employed,english,1,high school,49
197,Asian,female,Hendry County,employed,spanish,4,trade school or other certification,21
198,white,female,Hamilton County,employed,english,1,bachelor's degree,55
199,Native American,female,Hendry County,unemployed,english,NA,high school,23
200,caucasion,male,Washington County,employed,spanish,NA,graduate degree,22
201,Asian,female,Lafayette County,employed,english,NA,graduate degree,54
202,white,female,Gulf County,employed,english,1,some university,31
203,hispanic-black,female,Suwannee County,employed,english,NA,less than high school,37
204,caucasion,female,Bradford County,employed,english,1,graduate degree,27
205,black,female,Lafayette County,employed,english,1,associate's degree,33
206,Native American and Alaskan Native,male,DeSoto County,employed,spanish,1,high school,52
207,hispanic-white,female,Alachua County,employed,english,NA,bachelor's degree,20
208,caucasion,female,Hamilton County,unemployed,english,1,high school,57
209,African American,female,Jefferson County,employed,english,NA,high school,21
210,caucasion,female,Gulf County,employed,english,1,high school,55
211,Native American,male,Gadsden County,employed,english,1,high school,49
212,black,female,Calhoun County,employed,english,1,high school,38
213,hispanic-white,female,Liberty County,employed,other,1,high school,39
214,Pacific Islander,female,Levy County,employed,english,NA,bachelor's degree,47
215,Native American and Alaskan Native,female,Wakulla County,employed,english,1,high school,46
216,caucasion,male,Highlands County,employed,english,2,trade school or other certification,56
217,caucasian,female,Liberty County,employed,english,1,some university,41
218,hispanic-black,female,Union County,employed,english,NA,high school,35
219,caucasion,female,Union County,employed,english,1,bachelor's degree,48
220,white,female,Martin County,employed,other,1,associate's degree,45
221,caucasian,female,DeSoto County,employed,english,NA,some university,29
222,hispanic-white,male,Gilchrist County,employed,english,1,high school,57
223,caucasion,male,Union County,employed,english,1,bachelor's degree,57
224,caucasian,female,Glades County,employed,english,1,high school,32
225,hispanic-white,female,Gulf County,employed,english,2,high school,33
226,caucasian,female,Hamilton County,unemployed,english,3,associate's degree,40
227,African American,female,Okeechobee County,employed,english,1,high school,49
228,caucasion,female,Bradford County,employed,english,1,less than high school,42
229,Asian,female,Franklin County,employed,english,1,high school,57
230,hispanic-black,male,Glades County,employed,english,2,high school,40
231,African American,female,Clay County,employed,english,NA,less than high school,22
232,hispanic-white,female,Taylor County,employed,other,1,high school,50
233,hispanic-white,male,Dixie County,employed,english,3,high school,35
234,caucasion,male,Lafayette County,employed,spanish,3,bachelor's degree,52
235,hispanic-white,male,Hamilton County,employed,english,NA,less than high school,59
236,caucasion,female,Holmes County,employed,spanish,4,bachelor's degree,43
237,Other,female,Dixie County,employed,english,1,trade school or other certification,45
238,caucasion,female,Liberty County,employed,english,NA,high school,37
239,caucasian,female,Hardee County,employed,english,1,high school,23
240,caucasion,female,Lafayette County,unemployed,english,3,less than high school,33
241,black,female,Baker County,employed,english,1,some university,21
242,Pacific Islander,female,Gilchrist County,employed,english,4,high school,28
243,hispanic-white,male,Hardee County,employed,english,1,bachelor's degree,32
244,caucasion,female,Gilchrist County,employed,english,2,high school,44
245,Asian,female,Suwannee County,employed,english,4,high school,48
246,caucasian,female,Jefferson County,employed,english,1,high school,37
247,African American,female,Lafayette County,employed,english,1,high school,29
248,African American,female,Franklin County,employed,english,1,high school,38
249,Asian,female,Gulf County,employed,english,NA,associate's degree,34
250,Native American,female,Holmes County,employed,english,NA,high school,56
251,hispanic-white,female,Calhoun County,employed,english,1,high school,59
252,hispanic-white,male,Jefferson County,employed,spanish,2,less than high school,60
253,hispanic-white,female,Gadsden County,employed,english,1,less than high school,45
254,hispanic-white,female,Gulf County,employed,spanish,4,high school,60
255,Native American and Alaskan Native,female,Madison County,employed,english,NA,high school,55
256,hispanic-white,female,Washington County,employed,english,1,associate's degree,28
257,caucasian,female,Liberty County,employed,english,NA,less than high school,27
258,white,female,Union County,employed,english,NA,less than high school,48
259,hispanic-black,female,Levy County,employed,english,4,associate's degree,43
260,African American,male,Glades County,employed,english,1,high school,20
261,hispanic-white,female,Hendry County,employed,spanish,1,high school,34
262,white,female,Calhoun County,employed,english,NA,associate's degree,31
263,Native American,female,Gulf County,employed,english,1,bachelor's degree,35
264,hispanic-white,female,Franklin County,employed,english,1,high school,24
265,white,female,Liberty County,employed,english,1,some university,55
266,hispanic-white,male,Jackson County,employed,english,NA,high school,49
267,hispanic-black,male,Hamilton County,employed,english,2,high school,55
268,hispanic-white,female,Baker County,employed,english,1,high school,51
269,Asian,male,Franklin County,employed,english,NA,associate's degree,24
270,Native American,female,Jefferson County,employed,english,4,some university,42
271,caucasian,female,Dixie County,unemployed,english,NA,graduate degree,55
272,caucasion,male,Dixie County,employed,english,1,high school,27
273,black,female,Dixie County,employed,english,1,high school,30
274,caucasion,male,Santa Rosa County,employed,english,1,associate's degree,48
275,black,female,Lafayette County,employed,spanish,3,bachelor's degree,32
276,white,male,Calhoun County,employed,english,2,some university,20
277,African American,female,Liberty County,unemployed,english,1,associate's degree,49
278,hispanic-black,female,Suwannee County,employed,english,1,trade school or other certification,38
279,caucasion,female,Hardee County,employed,english,NA,graduate degree,32
280,hispanic-white,female,Gulf County,employed,english,NA,high school,35
281,caucasion,female,Dixie County,employed,english,1,high school,21
282,caucasian,male,Dixie County,employed,english,1,some university,52
283,Asian,male,Hamilton County,employed,english,NA,less than high school,28
284,caucasion,female,Calhoun County,employed,other,2,less than high school,36
285,caucasian,male,Hardee County,employed,spanish,1,some university,47
286,caucasian,female,Franklin County,unemployed,english,1,less than high school,36
287,Pacific Islander,male,Lafayette County,employed,english,3,less than high school,26
288,hispanic-black,male,Calhoun County,employed,spanish,1,high school,26
289,Native American and Alaskan Native,male,Putnam County,employed,english,1,associate's degree,24
290,white,female,Hardee County,employed,english,4,graduate degree,42
291,hispanic-white,female,Union County,employed,english,NA,bachelor's degree,40
292,caucasian,female,Gulf County,employed,english,3,high school,27
293,Native American and Alaskan Native,male,Sumter County,unemployed,english,4,high school,28
294,hispanic-white,female,Franklin County,employed,spanish,1,less than high school,60
295,hispanic-white,male,Leon County,employed,english,2,less than high school,21
296,white,female,Lafayette County,employed,english,1,high school,59
297,caucasion,female,Lafayette County,employed,english,3,high school,34
298,Pacific Islander,female,Liberty County,employed,english,3,less than high school,43
299,black,male,Gulf County,employed,english,4,high school,56
300,caucasian,female,Glades County,employed,spanish,1,less than high school,21
301,hispanic-black,female,Hardee County,employed,english,NA,bachelor's degree,42
302,black,male,Monroe County,employed,english,1,graduate degree,32
303,hispanic-white,female,Baker County,employed,english,NA,high school,30
304,hispanic-white,female,Hardee County,employed,english,2,associate's degree,25
305,black,male,Taylor County,employed,english,1,high school,32
306,white,female,Holmes County,unemployed,english,1,high school,22
307,caucasion,male,Union County,employed,english,3,graduate degree,53
308,caucasion,female,Gulf County,employed,spanish,1,bachelor's degree,49
309,Native American,male,Liberty County,employed,other,1,bachelor's degree,31
310,asian,female,Calhoun County,unemployed,english,1,some university,38
311,white,female,Wakulla County,employed,english,NA,high school,29
312,hispanic-black,female,Hendry County,employed,english,NA,high school,45
313,white,male,Leon County,employed,english,3,associate's degree,52
314,hispanic-black,female,Madison County,employed,english,2,trade school or other certification,53
315,caucasian,female,Hardee County,employed,english,1,associate's degree,38
316,hispanic-white,male,Monroe County,employed,english,4,bachelor's degree,57
317,hispanic-black,female,Washington County,employed,english,1,high school,39
318,hispanic-black,male,Dixie County,employed,english,1,trade school or other certification,54
319,hispanic-white,female,Liberty County,unemployed,english,1,some university,35
320,Asian,female,Hendry County,unemployed,english,1,some university,21
321,white,female,Franklin County,employed,spanish,2,bachelor's degree,41
322,hispanic-white,female,Union County,employed,english,3,high school,53
323,white,female,Bradford County,unemployed,english,1,high school,22
324,white,female,Dixie County,employed,english,1,less than high school,50
325,Native American,male,Lafayette County,employed,english,1,bachelor's degree,32
326,hispanic-white,male,Highlands County,employed,english,4,high school,29
327,white,female,Putnam County,employed,english,4,less than high school,37
328,caucasion,female,Suwannee County,employed,english,1,high school,35
329,Pacific Islander,male,Gilchrist County,employed,spanish,3,high school,30
330,hispanic-white,female,Union County,employed,english,1,graduate degree,27
331,Native American and Alaskan Native,male,Hamilton County,employed,english,NA,high school,56
332,hispanic-white,male,Wakulla County,employed,english,1,high school,21
333,caucasion,female,Bradford County,employed,english,1,less than high school,53
334,African American,female,Liberty County,employed,other,1,high school,27
335,hispanic-white,female,DeSoto County,employed,english,2,less than high school,43
336,Other,female,Lafayette County,employed,spanish,1,graduate degree,50
337,black,female,Hardee County,employed,english,1,high school,56
338,Native American and Alaskan Native,male,Liberty County,employed,english,1,high school,53
339,caucasian,female,Hamilton County,employed,spanish,1,less than high school,20
340,hispanic-white,male,Hendry County,employed,english,1,high school,41
341,African American,female,Taylor County,employed,english,2,high school,49
342,caucasion,male,Monroe County,employed,english,2,high school,34
343,Other,female,Nassau County,unemployed,english,1,less than high school,54
344,African American,female,Suwannee County,employed,english,2,less than high school,22
345,Asian,male,Jefferson County,employed,spanish,4,high school,48
346,hispanic-white,female,Liberty County,employed,english,1,associate's degree,21
347,African American,female,Jefferson County,unemployed,english,1,high school,60
348,Native American,female,Hardee County,employed,english,1,graduate degree,38
349,hispanic-black,male,Lafayette County,employed,english,NA,graduate degree,43
350,caucasion,female,Lafayette County,unemployed,spanish,1,less than high school,48
351,black,female,Sarasota County,employed,english,1,less than high school,31
352,Other,female,Lafayette County,employed,english,3,bachelor's degree,50
353,black,male,Bradford County,employed,english,4,high school,23
354,hispanic-black,male,Hardee County,employed,english,1,bachelor's degree,33
355,Other,male,Walton County,employed,english,NA,high school,43
356,hispanic-black,female,Union County,employed,english,1,graduate degree,56
357,black,female,Liberty County,employed,english,1,less than high school,54
358,African American,female,Jackson County,employed,spanish,NA,some university,47
359,white,female,Glades County,employed,english,1,high school,38
360,caucasian,male,Gilchrist County,employed,english,2,high school,45
361,caucasian,male,Suwannee County,employed,english,3,high school,33
362,hispanic-black,female,Hamilton County,employed,spanish,3,less than high school,30
363,white,female,Gulf County,employed,english,1,associate's degree,43
364,hispanic-black,female,Lafayette County,employed,english,1,some university,22
365,white,female,Jefferson County,employed,english,1,high school,51
366,Other,female,Gilchrist County,employed,english,NA,bachelor's degree,27
367,caucasian,female,Holmes County,employed,english,1,high school,51
368,hispanic-white,female,Washington County,employed,english,1,associate's degree,38
369,caucasion,male,Dixie County,employed,english,NA,some university,32
370,caucasian,female,Glades County,employed,english,NA,some university,29
371,Native American and Alaskan Native,female,DeSoto County,employed,spanish,1,high school,34
372,white,female,Calhoun County,employed,english,1,bachelor's degree,56
373,Other,female,Dixie County,employed,english,4,associate's degree,31
374,African American,female,Broward County,employed,english,2,high school,24
375,white,female,Union County,employed,english,1,bachelor's degree,57
376,caucasion,female,Lafayette County,employed,english,2,some university,50
377,Native American,female,Calhoun County,employed,spanish,1,high school,47
378,hispanic-white,female,Lafayette County,employed,spanish,1,graduate degree,40
379,hispanic-white,female,Jackson County,employed,english,4,high school,55
380,caucasion,male,Hamilton County,employed,english,3,bachelor's degree,48
381,caucasian,female,Union County,employed,english,4,some university,22
382,Other,female,Calhoun County,employed,english,1,high school,25
383,caucasion,male,Holmes County,employed,spanish,1,associate's degree,29
384,white,male,Hamilton County,employed,english,1,graduate degree,58
385,Native American,male,Jefferson County,employed,english,1,less than high school,24
386,Asian,female,Gilchrist County,unemployed,english,NA,high school,39
387,Native American and Alaskan Native,female,Washington County,employed,english,1,bachelor's degree,58
388,asian,female,Okeechobee County,employed,english,2,graduate degree,23
389,Native American and Alaskan Native,female,Glades County,employed,english,1,associate's degree,29
390,hispanic-black,female,Flagler County,employed,english,1,trade school or other certification,44
391,caucasion,female,Madison County,employed,english,4,high school,24
392,hispanic-black,female,Hardee County,employed,english,2,high school,29
393,hispanic-white,male,Hamilton County,employed,english,1,graduate degree,41
394,black,male,Putnam County,employed,english,1,associate's degree,45
395,caucasion,female,Holmes County,employed,english,4,high school,40
396,hispanic-white,male,Putnam County,employed,other,3,bachelor's degree,52
397,hispanic-white,male,Franklin County,employed,english,4,bachelor's degree,35
398,black,male,Glades County,employed,english,1,high school,59
399,African American,male,Gulf County,unemployed,english,1,associate's degree,57
400,hispanic-white,male,Liberty County,employed,english,1,less than high school,51
401,Native American and Alaskan Native,male,Taylor County,employed,english,NA,high school,53
402,caucasian,female,Taylor County,employed,english,1,associate's degree,58
403,black,male,Franklin County,employed,english,1,high school,40
404,caucasion,female,Glades County,employed,english,NA,high school,31
405,hispanic-white,female,Hamilton County,employed,english,1,trade school or other certification,49
406,hispanic-black,female,Sumter County,employed,english,1,associate's degree,30
407,caucasion,female,Franklin County,employed,english,1,associate's degree,45
408,caucasion,female,Glades County,unemployed,english,4,high school,45
409,Other,male,Jefferson County,employed,english,NA,high school,47
410,caucasion,female,Baker County,employed,english,1,high school,55
411,hispanic-white,female,Wakulla County,employed,english,4,high school,25
412,caucasion,female,Washington County,employed,english,1,high school,60
413,Native American and Alaskan Native,male,Baker County,employed,english,1,graduate degree,20
414,white,male,Glades County,employed,english,4,high school,35
415,caucasion,female,Holmes County,employed,english,1,high school,53
416,caucasion,female,Marion County,employed,spanish,NA,less than high school,35
417,hispanic-white,female,Union County,unemployed,english,4,bachelor's degree,36
418,caucasion,female,Gulf County,employed,english,3,some university,36
419,Native American,female,Dixie County,employed,english,1,bachelor's degree,52
420,African American,female,Walton County,employed,english,1,bachelor's degree,36
421,hispanic-white,female,Liberty County,employed,english,1,trade school or other certification,21
422,hispanic-white,male,Franklin County,employed,english,NA,less than high school,48
423,caucasian,female,Calhoun County,employed,english,2,high school,47
424,caucasion,female,Dixie County,employed,other,1,associate's degree,34
425,hispanic-black,female,Jefferson County,unemployed,english,2,high school,44
426,caucasion,female,Gulf County,employed,english,1,high school,37
427,Other,female,Washington County,employed,english,NA,associate's degree,58
428,Native American and Alaskan Native,male,Lafayette County,employed,english,1,trade school or other certification,48
429,hispanic-white,male,Jefferson County,unemployed,english,2,trade school or other certification,44
430,hispanic-white,female,Madison County,employed,english,1,bachelor's degree,42
431,caucasian,male,Washington County,employed,english,NA,bachelor's degree,37
432,Pacific Islander,female,Union County,unemployed,english,1,high school,60
433,Other,female,Escambia County,employed,english,1,associate's degree,47
434,hispanic-white,female,Franklin County,employed,english,1,high school,32
435,black,female,Union County,employed,english,4,bachelor's degree,51
436,hispanic-black,female,Suwannee County,employed,english,1,associate's degree,44
437,white,female,Jefferson County,employed,english,1,high school,22
438,hispanic-white,female,Liberty County,employed,english,2,bachelor's degree,23
439,caucasion,female,Sumter County,employed,spanish,1,less than high school,56
440,Native American and Alaskan Native,female,Hardee County,employed,english,1,graduate degree,45
441,caucasion,female,Monroe County,unemployed,english,NA,high school,24
442,black,male,Union County,employed,english,2,bachelor's degree,20
443,caucasion,female,Jefferson County,employed,english,1,some university,53
444,hispanic-black,female,Wakulla County,employed,english,1,associate's degree,48
445,caucasion,female,Okeechobee County,employed,english,NA,some university,52
446,Native American and Alaskan Native,male,Jackson County,employed,english,3,high school,29
447,hispanic-white,female,Levy County,employed,spanish,2,high school,50
448,Asian,female,Glades County,employed,spanish,1,associate's degree,31
449,caucasion,male,Washington County,unemployed,english,NA,less than high school,53
450,caucasion,male,Jefferson County,employed,english,1,high school,23
451,hispanic-black,male,Union County,employed,english,1,high school,52
452,Pacific Islander,female,Lafayette County,employed,english,1,high school,56
453,caucasion,male,Okeechobee County,employed,english,NA,less than high school,41
454,Other,male,Glades County,employed,spanish,1,high school,51
455,hispanic-white,female,DeSoto County,employed,english,1,associate's degree,52
456,caucasion,female,Lafayette County,employed,english,1,high school,53
457,black,male,Hardee County,employed,english,NA,less than high school,28
458,caucasian,male,Levy County,employed,english,1,high school,60
459,African American,male,Gilchrist County,employed,english,1,less than high school,24
460,black,female,Glades County,employed,english,NA,high school,57
461,black,female,Lafayette County,employed,spanish,NA,less than high school,38
462,caucasian,male,Union County,unemployed,english,1,high school,29
463,Native American and Alaskan Native,female,Wakulla County,employed,english,1,some university,30
464,white,male,Gulf County,employed,english,NA,some university,38
465,Asian,male,Gilchrist County,employed,other,NA,high school,43
466,white,female,Jefferson County,employed,spanish,NA,high school,22
467,hispanic-white,female,Jefferson County,employed,english,NA,less than high school,55
468,white,male,Monroe County,employed,english,4,high school,27
469,white,female,Union County,unemployed,english,1,some university,41
470,caucasion,female,Hardee County,unemployed,english,1,high school,44
471,hispanic-black,female,Glades County,employed,english,1,high school,23
472,white,female,Glades County,unemployed,english,1,high school,59
